id_alat,tanggal_operasi,shift,jam_mulai,jam_selesai,status_operasi,material_dipindah,id_operator,lokasi_kode,tipe_alat,model_alat,kapasitas_default_ton,departemen,umur_tahun,kondisi,hujan_mm,prob_hujan,intensitas_hujan,suhu_min_c,suhu_max_c,kelembaban_rh_avg,angin_kecepatan_avg_ms,angin_gust_max_ms,petir_count,cycle_time_avg_jam,label_risk_delay,prev_cycle_time,avg_last_3_cycles,jam_operasi,hujan_deras
ALAT_047,2025-07-03,Shift 1,06:00:00,09:42:00,Beroperasi,Overburden,OPR_135,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.23125,0,0.23125,0.2895833333333333,6,0
ALAT_047,2025-07-03,Shift 3,22:00:00,04:30:00,Beroperasi,Overburden,OPR_022,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.40625,0,0.23125,0.28958333333333336,22,0
ALAT_047,2025-07-03,Shift 1,06:00:00,09:42:00,Beroperasi,Overburden,OPR_135,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.23125,0,0.40625,0.2895833333333333,6,0
ALAT_047,2025-07-03,Shift 3,22:00:00,04:30:00,Beroperasi,Overburden,OPR_022,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.40625,0,0.23125,0.34791666666666665,22,0
ALAT_047,2025-07-03,Shift 3,22:00:00,04:30:00,Beroperasi,Overburden,OPR_022,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.40625,0,0.40625,0.34791666666666665,22,0
ALAT_047,2025-07-03,Shift 3,22:00:00,04:30:00,Beroperasi,Overburden,OPR_022,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.40625,0,0.40625,0.40625,22,0
ALAT_047,2025-07-03,Shift 3,22:00:00,04:30:00,Beroperasi,Overburden,OPR_022,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.40625,0,0.40625,0.40625,22,0
ALAT_047,2025-07-03,Shift 1,06:00:00,09:42:00,Beroperasi,Overburden,OPR_135,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.23125,0,0.40625,0.3479166666666667,6,0
ALAT_047,2025-07-06,Shift 3,22:00:00,02:25:00,Beroperasi,Overburden,OPR_025,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,9.1,0.41,Ringan,25.7,32.6,82.0,1.8,5.2,0,0.26,0,0.23125,0.2991666666666667,22,0
ALAT_047,2025-07-06,Shift 3,22:00:00,02:25:00,Beroperasi,Overburden,OPR_025,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,9.1,0.41,Ringan,25.7,32.6,82.0,1.8,5.2,0,0.26,0,0.26,0.2504166666666667,22,0
ALAT_047,2025-07-06,Shift 3,22:00:00,02:25:00,Beroperasi,Overburden,OPR_025,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,9.1,0.41,Ringan,25.7,32.6,82.0,1.8,5.2,0,0.26,0,0.26,0.26,22,0
ALAT_047,2025-07-06,Shift 3,22:00:00,02:25:00,Beroperasi,Overburden,OPR_025,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,9.1,0.41,Ringan,25.7,32.6,82.0,1.8,5.2,0,0.26,0,0.26,0.26,22,0
ALAT_047,2025-07-07,Shift 1,06:00:00,13:00:00,Beroperasi,Overburden,OPR_007,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.13,Cerah,24.6,31.5,65.1,0.6,1.5,0,1.75,1,0.26,0.7566666666666667,6,0
ALAT_047,2025-07-07,Shift 3,22:00:00,05:49:00,Beroperasi,Overburden,OPR_062,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.13,Cerah,24.6,31.5,65.1,0.6,1.5,0,1.564,1,1.75,1.1913333333333334,22,0
ALAT_047,2025-07-07,Shift 3,22:00:00,05:49:00,Beroperasi,Overburden,OPR_062,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.13,Cerah,24.6,31.5,65.1,0.6,1.5,0,1.564,1,1.564,1.6260000000000001,22,0
ALAT_047,2025-07-07,Shift 1,06:00:00,13:00:00,Beroperasi,Overburden,OPR_007,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.13,Cerah,24.6,31.5,65.1,0.6,1.5,0,1.75,1,1.564,1.6260000000000001,6,0
ALAT_047,2025-07-07,Shift 3,22:00:00,05:49:00,Beroperasi,Overburden,OPR_062,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.13,Cerah,24.6,31.5,65.1,0.6,1.5,0,1.564,1,1.75,1.6260000000000001,22,0
ALAT_047,2025-07-07,Shift 1,06:00:00,13:00:00,Beroperasi,Overburden,OPR_007,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.13,Cerah,24.6,31.5,65.1,0.6,1.5,0,1.75,1,1.564,1.688,6,0
ALAT_047,2025-07-07,Shift 3,22:00:00,05:49:00,Beroperasi,Overburden,OPR_062,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.13,Cerah,24.6,31.5,65.1,0.6,1.5,0,1.564,1,1.75,1.6260000000000001,22,0
ALAT_047,2025-07-07,Shift 1,06:00:00,13:00:00,Beroperasi,Overburden,OPR_007,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.13,Cerah,24.6,31.5,65.1,0.6,1.5,0,1.75,1,1.564,1.688,6,0
ALAT_047,2025-07-08,Shift 3,22:00:00,02:58:00,Beroperasi,Overburden,OPR_056,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.04,Cerah,23.8,29.1,74.3,2.7,4.7,0,0.2761111111111111,0,0.2761111111111111,0.2761111111111111,22,0
ALAT_047,2025-07-08,Shift 3,22:00:00,02:58:00,Beroperasi,Overburden,OPR_056,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.04,Cerah,23.8,29.1,74.3,2.7,4.7,0,0.2761111111111111,0,0.2761111111111111,0.2761111111111111,22,0
ALAT_047,2025-07-08,Shift 3,22:00:00,02:58:00,Beroperasi,Overburden,OPR_056,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.04,Cerah,23.8,29.1,74.3,2.7,4.7,0,0.2761111111111111,0,0.2761111111111111,0.2761111111111111,22,0
ALAT_047,2025-07-08,Shift 3,22:00:00,02:58:00,Beroperasi,Overburden,OPR_056,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.04,Cerah,23.8,29.1,74.3,2.7,4.7,0,0.2761111111111111,0,0.2761111111111111,0.2761111111111111,22,0
ALAT_047,2025-07-08,Shift 3,22:00:00,02:58:00,Beroperasi,Overburden,OPR_056,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.04,Cerah,23.8,29.1,74.3,2.7,4.7,0,0.2761111111111111,0,0.2761111111111111,0.45976190476190476,22,0
ALAT_047,2025-07-08,Shift 3,22:00:00,02:58:00,Beroperasi,Overburden,OPR_056,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.04,Cerah,23.8,29.1,74.3,2.7,4.7,0,0.2761111111111111,0,0.2761111111111111,0.45976190476190476,22,0
ALAT_047,2025-07-09,Shift 3,22:00:00,03:34:00,Beroperasi,Overburden,OPR_108,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,45.8,0.87,Lebat,24.1,29.2,93.6,4.3,6.7,0,0.557,0,0.557,0.45976190476190476,22,1
ALAT_047,2025-07-09,Shift 3,22:00:00,03:34:00,Beroperasi,Overburden,OPR_108,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,45.8,0.87,Lebat,24.1,29.2,93.6,4.3,6.7,0,0.557,0,0.557,0.45976190476190476,22,1
ALAT_047,2025-07-09,Shift 3,22:00:00,03:34:00,Beroperasi,Overburden,OPR_108,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,45.8,0.87,Lebat,24.1,29.2,93.6,4.3,6.7,0,0.557,0,0.557,0.45976190476190476,22,1
ALAT_047,2025-07-10,Shift 3,22:00:00,01:37:00,Beroperasi,Overburden,OPR_089,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.59,Ringan,24.6,31.6,77.8,1.9,3.7,0,0.226875,0,0.226875,0.45976190476190476,22,0
ALAT_047,2025-07-10,Shift 3,22:00:00,01:37:00,Beroperasi,Overburden,OPR_089,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.59,Ringan,24.6,31.6,77.8,1.9,3.7,0,0.226875,0,0.226875,0.45976190476190476,22,0
ALAT_047,2025-07-10,Shift 3,22:00:00,01:37:00,Beroperasi,Overburden,OPR_089,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.59,Ringan,24.6,31.6,77.8,1.9,3.7,0,0.226875,0,0.226875,0.45976190476190476,22,0
ALAT_047,2025-07-10,Shift 3,22:00:00,01:37:00,Beroperasi,Overburden,OPR_089,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.59,Ringan,24.6,31.6,77.8,1.9,3.7,0,0.226875,0,0.226875,0.45976190476190476,22,0
ALAT_047,2025-07-14,Shift 3,22:00:00,03:37:00,Beroperasi,Overburden,OPR_119,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.47,Ringan,25.1,30.5,81.8,2.8,4.4,0,0.4021428571428571,0,0.4021428571428571,0.45976190476190476,22,0
ALAT_047,2025-07-14,Shift 1,06:00:00,11:45:00,Beroperasi,Overburden,OPR_144,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.47,Ringan,25.1,30.5,81.8,2.8,4.4,0,0.575,0,0.4021428571428571,0.45976190476190476,6,0
ALAT_047,2025-07-14,Shift 3,22:00:00,03:37:00,Beroperasi,Overburden,OPR_119,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.47,Ringan,25.1,30.5,81.8,2.8,4.4,0,0.4021428571428571,0,0.575,0.45976190476190476,22,0
ALAT_047,2025-07-14,Shift 1,06:00:00,11:45:00,Beroperasi,Overburden,OPR_144,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.47,Ringan,25.1,30.5,81.8,2.8,4.4,0,0.575,0,0.4021428571428571,0.5173809523809524,6,0
ALAT_047,2025-07-14,Shift 3,22:00:00,03:37:00,Beroperasi,Overburden,OPR_119,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.47,Ringan,25.1,30.5,81.8,2.8,4.4,0,0.4021428571428571,0,0.575,0.45976190476190476,22,0
ALAT_047,2025-07-14,Shift 3,22:00:00,03:37:00,Beroperasi,Overburden,OPR_119,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.47,Ringan,25.1,30.5,81.8,2.8,4.4,0,0.4021428571428571,0,0.4021428571428571,0.45976190476190465,22,0
ALAT_047,2025-07-14,Shift 1,06:00:00,11:45:00,Beroperasi,Overburden,OPR_144,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.47,Ringan,25.1,30.5,81.8,2.8,4.4,0,0.575,0,0.4021428571428571,0.45976190476190465,6,0
ALAT_047,2025-07-14,Shift 1,06:00:00,11:45:00,Beroperasi,Overburden,OPR_144,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.47,Ringan,25.1,30.5,81.8,2.8,4.4,0,0.575,0,0.575,0.5173809523809524,6,0
ALAT_047,2025-07-14,Shift 3,22:00:00,03:37:00,Beroperasi,Overburden,OPR_119,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.47,Ringan,25.1,30.5,81.8,2.8,4.4,0,0.4021428571428571,0,0.575,0.5173809523809523,22,0
ALAT_047,2025-07-29,Shift 2,14:00:00,17:43:00,Beroperasi,Overburden,OPR_127,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.43,Ringan,25.8,30.9,83.4,2.6,5.9,0,0.233125,0,0.233125,0.500375,14,0
ALAT_047,2025-07-29,Shift 3,22:00:00,04:20:00,Beroperasi,Overburden,OPR_129,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.43,Ringan,25.8,30.9,83.4,2.6,5.9,0,0.634,0,0.233125,0.500375,22,0
ALAT_047,2025-07-29,Shift 3,22:00:00,04:20:00,Beroperasi,Overburden,OPR_129,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.43,Ringan,25.8,30.9,83.4,2.6,5.9,0,0.634,0,0.634,0.500375,22,0
ALAT_047,2025-07-29,Shift 3,22:00:00,04:20:00,Beroperasi,Overburden,OPR_129,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.43,Ringan,25.8,30.9,83.4,2.6,5.9,0,0.634,0,0.634,0.634,22,0
ALAT_047,2025-07-29,Shift 2,14:00:00,17:43:00,Beroperasi,Overburden,OPR_127,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.43,Ringan,25.8,30.9,83.4,2.6,5.9,0,0.233125,0,0.634,0.500375,14,0
ALAT_047,2025-07-29,Shift 3,22:00:00,04:20:00,Beroperasi,Overburden,OPR_129,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.43,Ringan,25.8,30.9,83.4,2.6,5.9,0,0.634,0,0.233125,0.500375,22,0
ALAT_047,2025-07-29,Shift 2,14:00:00,17:43:00,Beroperasi,Overburden,OPR_127,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.43,Ringan,25.8,30.9,83.4,2.6,5.9,0,0.233125,0,0.634,0.36674999999999996,14,0
ALAT_047,2025-07-29,Shift 2,14:00:00,17:43:00,Beroperasi,Overburden,OPR_127,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.43,Ringan,25.8,30.9,83.4,2.6,5.9,0,0.233125,0,0.233125,0.36674999999999996,14,0
ALAT_047,2025-07-30,Shift 3,22:00:00,04:15:00,Beroperasi,Overburden,OPR_004,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.1,0.53,Ringan,25.7,30.6,83.0,3.4,6.1,0,0.368235294117647,0,0.233125,0.27816176470588233,22,0
ALAT_047,2025-07-30,Shift 3,22:00:00,04:15:00,Beroperasi,Overburden,OPR_004,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.1,0.53,Ringan,25.7,30.6,83.0,3.4,6.1,0,0.368235294117647,0,0.368235294117647,0.3231985294117647,22,0
ALAT_047,2025-07-30,Shift 2,14:00:00,20:21:00,Beroperasi,Overburden,OPR_132,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.1,0.53,Ringan,25.7,30.6,83.0,3.4,6.1,0,1.59,1,0.368235294117647,0.7754901960784313,14,0
ALAT_047,2025-07-30,Shift 3,22:00:00,04:15:00,Beroperasi,Overburden,OPR_004,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.1,0.53,Ringan,25.7,30.6,83.0,3.4,6.1,0,0.368235294117647,0,1.59,0.7754901960784313,22,0
ALAT_047,2025-07-30,Shift 2,14:00:00,20:21:00,Beroperasi,Overburden,OPR_132,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.1,0.53,Ringan,25.7,30.6,83.0,3.4,6.1,0,1.59,1,0.368235294117647,1.1827450980392158,14,0
ALAT_047,2025-07-30,Shift 3,22:00:00,04:15:00,Beroperasi,Overburden,OPR_004,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.1,0.53,Ringan,25.7,30.6,83.0,3.4,6.1,0,0.368235294117647,0,1.59,0.7754901960784313,22,0
ALAT_047,2025-07-30,Shift 2,14:00:00,20:21:00,Beroperasi,Overburden,OPR_132,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.1,0.53,Ringan,25.7,30.6,83.0,3.4,6.1,0,1.59,1,0.368235294117647,1.1827450980392158,14,0
ALAT_047,2025-07-30,Shift 2,14:00:00,20:21:00,Beroperasi,Overburden,OPR_132,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.1,0.53,Ringan,25.7,30.6,83.0,3.4,6.1,0,1.59,1,1.59,1.1827450980392158,14,0
ALAT_047,2025-07-30,Shift 3,22:00:00,04:15:00,Beroperasi,Overburden,OPR_004,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.1,0.53,Ringan,25.7,30.6,83.0,3.4,6.1,0,0.368235294117647,0,1.59,1.1827450980392158,22,0
ALAT_047,2025-08-01,Shift 3,22:00:00,01:15:00,Beroperasi,Overburden,OPR_072,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.56,Ringan,25.4,31.3,79.8,2.9,4.2,0,0.1805555555555555,0,0.368235294117647,0.7129302832244009,22,0
ALAT_047,2025-08-01,Shift 3,22:00:00,01:15:00,Beroperasi,Overburden,OPR_072,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.56,Ringan,25.4,31.3,79.8,2.9,4.2,0,0.1805555555555555,0,0.1805555555555555,0.24311546840958598,22,0
ALAT_047,2025-08-01,Shift 3,22:00:00,01:15:00,Beroperasi,Overburden,OPR_072,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.56,Ringan,25.4,31.3,79.8,2.9,4.2,0,0.1805555555555555,0,0.1805555555555555,0.1805555555555555,22,0
ALAT_047,2025-08-01,Shift 3,22:00:00,01:15:00,Beroperasi,Overburden,OPR_072,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.56,Ringan,25.4,31.3,79.8,2.9,4.2,0,0.1805555555555555,0,0.1805555555555555,0.1805555555555555,22,0
ALAT_047,2025-08-01,Shift 3,22:00:00,01:15:00,Beroperasi,Overburden,OPR_072,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.56,Ringan,25.4,31.3,79.8,2.9,4.2,0,0.1805555555555555,0,0.1805555555555555,0.1805555555555555,22,0
ALAT_047,2025-08-01,Shift 3,22:00:00,01:15:00,Beroperasi,Overburden,OPR_072,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.56,Ringan,25.4,31.3,79.8,2.9,4.2,0,0.1805555555555555,0,0.1805555555555555,0.1805555555555555,22,0
ALAT_047,2025-08-01,Shift 3,22:00:00,01:15:00,Beroperasi,Overburden,OPR_072,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.56,Ringan,25.4,31.3,79.8,2.9,4.2,0,0.1805555555555555,0,0.1805555555555555,0.1805555555555555,22,0
ALAT_047,2025-08-02,Shift 2,14:00:00,19:46:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.15,Cerah,25.3,32.7,71.6,2.8,4.6,0,1.154,1,0.1805555555555555,0.5050370370370371,14,0
ALAT_047,2025-08-02,Shift 2,14:00:00,19:46:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.15,Cerah,25.3,32.7,71.6,2.8,4.6,0,1.154,1,1.154,0.8295185185185184,14,0
ALAT_047,2025-08-02,Shift 2,14:00:00,19:46:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.15,Cerah,25.3,32.7,71.6,2.8,4.6,0,1.154,1,1.154,1.154,14,0
ALAT_047,2025-08-02,Shift 2,14:00:00,19:46:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.15,Cerah,25.3,32.7,71.6,2.8,4.6,0,1.154,1,1.154,1.154,14,0
ALAT_047,2025-08-02,Shift 2,14:00:00,19:46:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.15,Cerah,25.3,32.7,71.6,2.8,4.6,0,1.154,1,1.154,1.154,14,0
ALAT_047,2025-08-02,Shift 2,14:00:00,19:46:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.15,Cerah,25.3,32.7,71.6,2.8,4.6,0,1.154,1,1.154,1.154,14,0
ALAT_047,2025-08-02,Shift 2,14:00:00,19:46:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.15,Cerah,25.3,32.7,71.6,2.8,4.6,0,1.154,1,1.154,1.154,14,0
ALAT_047,2025-08-02,Shift 2,14:00:00,19:46:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.15,Cerah,25.3,32.7,71.6,2.8,4.6,0,1.154,1,1.154,1.154,14,0
ALAT_047,2025-08-03,Shift 1,06:00:00,13:49:00,Beroperasi,Overburden,OPR_135,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.44,Ringan,23.7,29.4,81.2,2.8,5.9,0,0.87,1,1.154,1.0593333333333332,6,0
ALAT_047,2025-08-03,Shift 2,14:00:00,17:52:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.44,Ringan,23.7,29.4,81.2,2.8,5.9,0,0.215,0,0.87,0.7463333333333334,14,0
ALAT_047,2025-08-03,Shift 2,14:00:00,17:52:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.44,Ringan,23.7,29.4,81.2,2.8,5.9,0,0.215,0,0.215,0.4333333333333334,14,0
ALAT_047,2025-08-03,Shift 2,14:00:00,17:52:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.44,Ringan,23.7,29.4,81.2,2.8,5.9,0,0.215,0,0.215,0.215,14,0
ALAT_047,2025-08-03,Shift 2,14:00:00,17:52:00,Beroperasi,Overburden,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.44,Ringan,23.7,29.4,81.2,2.8,5.9,0,0.215,0,0.215,0.215,14,0
