id_record,id_alat,tanggal_operasi,shift,jam_mulai,jam_selesai,status_operasi,durasi_jam,material_dipindah,total_muatan_ton,jumlah_ritase,id_operator,lokasi_kode,tipe_alat,model_alat,kapasitas_default_ton,departemen,umur_tahun,kondisi,hujan_mm,prob_hujan,intensitas_hujan,suhu_min_c,suhu_max_c,kelembaban_rh_avg,angin_kecepatan_avg_ms,angin_gust_max_ms,petir_count,cycle_time_avg_jam,ritase_per_jam,ton_per_jam,label_risk_delay
OPRREC_0000482,ALAT_047,2025-07-09,Shift 2,14:00:00,14:33:00,Maintenance,0.56,Overburden,0.0,0,OPR_006,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,45.8,0.87,Lebat,24.1,29.2,93.6,4.3,6.7,0,,0.0,0.0,0
OPRREC_0000537,ALAT_047,2025-07-10,Shift 1,06:00:00,06:49:00,Breakdown,0.82,Overburden,0.0,0,OPR_056,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.59,Ringan,24.6,31.6,77.8,1.9,3.7,0,,0.0,0.0,0
OPRREC_0000538,ALAT_047,2025-07-10,Shift 3,22:00:00,01:37:00,Beroperasi,3.63,Overburden,1654.2,16,OPR_089,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.59,Ringan,24.6,31.6,77.8,1.9,3.7,0,0.226875,4.40771349862259,455.702479338843,0
OPRREC_0000742,ALAT_047,2025-07-14,Shift 3,22:00:00,03:37:00,Beroperasi,5.63,Overburden,1242.8,14,OPR_119,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.47,Ringan,25.1,30.5,81.8,2.8,4.4,0,0.40214285714285714,2.4866785079928952,220.74600355239787,0
OPRREC_0000743,ALAT_047,2025-07-14,Shift 1,06:00:00,11:45:00,Beroperasi,5.75,Overburden,992.3,10,OPR_144,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.2,0.47,Ringan,25.1,30.5,81.8,2.8,4.4,0,0.575,1.7391304347826086,172.57391304347826,0
OPRREC_0001486,ALAT_047,2025-07-27,Shift 1,06:00:00,09:36:00,Maintenance,3.6,Overburden,0.0,0,OPR_010,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.0,0.56,Ringan,23.6,27.9,78.9,3.2,5.8,2,,0.0,0.0,0
OPRREC_0001619,ALAT_047,2025-07-29,Shift 3,22:00:00,04:20:00,Beroperasi,6.34,Overburden,1120.2,10,OPR_129,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.43,Ringan,25.8,30.9,83.4,2.6,5.9,0,0.634,1.5772870662460567,176.6876971608833,0
OPRREC_0001620,ALAT_047,2025-07-29,Shift 2,14:00:00,17:43:00,Beroperasi,3.73,Overburden,1922.0,16,OPR_127,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.43,Ringan,25.8,30.9,83.4,2.6,5.9,0,0.233125,4.289544235924933,515.2815013404826,0
OPRREC_0001642,ALAT_047,2025-07-30,Shift 3,22:00:00,04:15:00,Beroperasi,6.26,Overburden,1515.2,17,OPR_004,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.1,0.53,Ringan,25.7,30.6,83.0,3.4,6.1,0,0.36823529411764705,2.7156549520766773,242.0447284345048,0
OPRREC_0001643,ALAT_047,2025-07-30,Shift 2,14:00:00,20:21:00,Beroperasi,6.36,Overburden,467.6,4,OPR_132,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.1,0.53,Ringan,25.7,30.6,83.0,3.4,6.1,0,1.59,0.6289308176100629,73.52201257861635,1
OPRREC_0001799,ALAT_047,2025-08-01,Shift 3,22:00:00,01:15:00,Beroperasi,3.25,Overburden,2024.1,18,OPR_072,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.56,Ringan,25.4,31.3,79.8,2.9,4.2,0,0.18055555555555555,5.538461538461538,622.8,0
OPRREC_0001859,ALAT_047,2025-08-02,Shift 2,14:00:00,19:46:00,Beroperasi,5.77,Overburden,449.5,5,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.15,Cerah,25.3,32.7,71.6,2.8,4.6,0,1.154,0.8665511265164645,77.90294627383017,1
OPRREC_0001881,ALAT_047,2025-08-03,Shift 1,06:00:00,13:49:00,Beroperasi,7.83,Overburden,923.7,9,OPR_135,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.44,Ringan,23.7,29.4,81.2,2.8,5.9,0,0.87,1.1494252873563218,117.96934865900384,1
OPRREC_0001882,ALAT_047,2025-08-03,Shift 2,14:00:00,17:52:00,Beroperasi,3.87,Overburden,1810.1,18,OPR_128,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,7.7,0.44,Ringan,23.7,29.4,81.2,2.8,5.9,0,0.215,4.651162790697675,467.7260981912144,0
OPRREC_0002016,ALAT_047,2025-08-05,Shift 2,14:00:00,16:58:00,Standby,2.98,Overburden,0.0,0,OPR_057,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.8,0.49,Ringan,25.6,32.2,85.0,2.4,5.8,0,,0.0,0.0,0
OPRREC_0002017,ALAT_047,2025-08-05,Shift 1,06:00:00,11:30:00,Beroperasi,5.51,Overburden,674.5,6,OPR_003,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.8,0.49,Ringan,25.6,32.2,85.0,2.4,5.8,0,0.9183333333333333,1.088929219600726,122.41379310344828,1
OPRREC_0002095,ALAT_047,2025-08-07,Shift 1,06:00:00,09:31:00,Beroperasi,3.52,Overburden,594.5,6,OPR_120,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.04,Cerah,24.7,32.1,60.9,0.9,1.5,0,0.5866666666666667,1.7045454545454546,168.89204545454547,0
OPRREC_0002096,ALAT_047,2025-08-07,Shift 3,22:00:00,01:58:00,Beroperasi,3.98,Overburden,1195.9,13,OPR_084,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.04,Cerah,24.7,32.1,60.9,0.9,1.5,0,0.30615384615384617,3.2663316582914574,300.4773869346734,0
OPRREC_0002250,ALAT_047,2025-08-10,Shift 2,14:00:00,21:38:00,Beroperasi,7.64,Overburden,1457.2,13,OPR_111,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,9.8,0.3,Ringan,24.3,30.4,77.0,2.4,5.2,0,0.5876923076923076,1.7015706806282722,190.73298429319374,0
OPRREC_0002379,ALAT_047,2025-08-12,Shift 3,22:00:00,02:33:00,Beroperasi,4.55,Overburden,1755.9,15,OPR_009,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,8.4,0.57,Ringan,24.2,30.7,82.0,2.7,4.8,0,0.30333333333333334,3.296703296703297,385.91208791208794,0
OPRREC_0002380,ALAT_047,2025-08-12,Shift 1,06:00:00,06:42:00,Breakdown,0.71,Overburden,0.0,0,OPR_018,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,8.4,0.57,Ringan,24.2,30.7,82.0,2.7,4.8,0,,0.0,0.0,0
OPRREC_0002545,ALAT_047,2025-08-15,Shift 3,22:00:00,04:32:00,Beroperasi,6.54,Overburden,913.0,10,OPR_003,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,24.3,0.72,Sedang,24.9,31.6,91.1,4.2,6.3,0,0.654,1.529051987767584,139.60244648318042,0
OPRREC_0002546,ALAT_047,2025-08-15,Shift 2,14:00:00,18:53:00,Beroperasi,4.89,Overburden,1162.6,10,OPR_087,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,24.3,0.72,Sedang,24.9,31.6,91.1,4.2,6.3,0,0.489,2.044989775051125,237.75051124744377,0
OPRREC_0002746,ALAT_047,2025-08-18,Shift 2,14:00:00,18:30:00,Beroperasi,4.5,Overburden,1641.1,18,OPR_006,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.08,Cerah,24.9,31.6,66.9,0.9,2.6,0,0.25,4.0,364.68888888888887,0
OPRREC_0002747,ALAT_047,2025-08-18,Shift 1,06:00:00,11:34:00,Beroperasi,5.57,Overburden,770.9,7,OPR_099,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.08,Cerah,24.9,31.6,66.9,0.9,2.6,0,0.7957142857142857,1.2567324955116697,138.4021543985637,1
OPRREC_0002776,ALAT_047,2025-08-19,Shift 1,06:00:00,13:04:00,Beroperasi,7.07,Overburden,1637.5,17,OPR_114,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.8,0.49,Ringan,23.1,29.0,79.9,1.5,4.0,0,0.4158823529411765,2.4045261669024045,231.6124469589816,0
OPRREC_0002777,ALAT_047,2025-08-19,Shift 3,22:00:00,05:24:00,Beroperasi,7.4,Overburden,576.8,5,OPR_021,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.8,0.49,Ringan,23.1,29.0,79.9,1.5,4.0,0,1.48,0.6756756756756757,77.94594594594594,1
OPRREC_0002982,ALAT_047,2025-08-22,Shift 3,22:00:00,04:32:00,Beroperasi,6.54,Overburden,1477.8,14,OPR_062,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.0,Cerah,24.6,30.5,73.1,1.4,2.3,0,0.46714285714285714,2.140672782874618,225.96330275229357,0
OPRREC_0002983,ALAT_047,2025-08-22,Shift 2,14:00:00,21:23:00,Beroperasi,7.39,Overburden,563.9,5,OPR_146,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.0,Cerah,24.6,30.5,73.1,1.4,2.3,0,1.478,0.6765899864682003,76.30581867388362,1
OPRREC_0003032,ALAT_047,2025-08-23,Shift 2,14:00:00,19:39:00,Beroperasi,5.66,Overburden,443.4,4,OPR_052,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.2,0.43,Ringan,25.4,32.5,82.4,3.0,5.7,0,1.415,0.7067137809187279,78.33922261484098,1
OPRREC_0003033,ALAT_047,2025-08-23,Shift 3,22:00:00,02:54:00,Beroperasi,4.91,Overburden,1372.1,12,OPR_053,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.2,0.43,Ringan,25.4,32.5,82.4,3.0,5.7,0,0.4091666666666667,2.4439918533604885,279.4501018329939,0
OPRREC_0003110,ALAT_047,2025-08-25,Shift 3,22:00:00,00:23:00,Maintenance,2.39,Overburden,0.0,0,OPR_101,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.1,Cerah,25.1,31.3,68.9,2.6,3.8,0,,0.0,0.0,0
OPRREC_0003111,ALAT_047,2025-08-25,Shift 2,14:00:00,17:15:00,Standby,3.25,Overburden,0.0,0,OPR_094,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.1,Cerah,25.1,31.3,68.9,2.6,3.8,0,,0.0,0.0,0
OPRREC_0003265,ALAT_047,2025-08-27,Shift 3,22:00:00,04:19:00,Beroperasi,6.32,Overburden,991.0,11,OPR_120,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.1,Cerah,24.9,31.6,66.7,1.3,3.3,0,0.5745454545454546,1.740506329113924,156.80379746835442,0
OPRREC_0003266,ALAT_047,2025-08-27,Shift 2,14:00:00,17:01:00,Beroperasi,3.03,Overburden,594.9,6,OPR_073,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.1,Cerah,24.9,31.6,66.7,1.3,3.3,0,0.505,1.9801980198019804,196.33663366336634,0
OPRREC_0003315,ALAT_047,2025-08-28,Shift 3,22:00:00,03:37:00,Beroperasi,5.63,Overburden,1498.4,14,OPR_129,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.07,Cerah,23.6,28.6,73.2,1.5,3.1,2,0.40214285714285714,2.4866785079928952,266.14564831261106,0
OPRREC_0003316,ALAT_047,2025-08-28,Shift 2,14:00:00,21:00:00,Beroperasi,7.01,Overburden,696.0,7,OPR_033,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.07,Cerah,23.6,28.6,73.2,1.5,3.1,2,1.0014285714285713,0.9985734664764623,99.28673323823111,1
OPRREC_0003511,ALAT_047,2025-09-01,Shift 1,06:00:00,12:13:00,Beroperasi,6.22,Overburden,905.0,10,OPR_086,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,8.3,0.36,Ringan,25.3,31.3,79.7,2.0,3.8,0,0.622,1.6077170418006432,145.4983922829582,0
OPRREC_0003657,ALAT_047,2025-09-03,Shift 1,06:00:00,13:03:00,Beroperasi,7.05,Overburden,1509.6,15,OPR_037,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,13.9,0.79,Sedang,25.6,31.2,88.2,1.8,4.4,0,0.47,2.127659574468085,214.12765957446808,0
OPRREC_0003864,ALAT_047,2025-09-07,Shift 3,22:00:00,03:09:00,Beroperasi,5.15,Overburden,1804.5,15,OPR_142,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,6.1,0.37,Ringan,25.9,31.5,82.5,2.3,3.9,0,0.3433333333333334,2.9126213592233006,350.38834951456306,0
OPRREC_0003865,ALAT_047,2025-09-07,Shift 2,14:00:00,17:10:00,Beroperasi,3.17,Overburden,1954.8,18,OPR_080,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,6.1,0.37,Ringan,25.9,31.5,82.5,2.3,3.9,0,0.1761111111111111,5.678233438485805,616.6561514195583,0
OPRREC_0003981,ALAT_047,2025-09-09,Shift 2,14:00:00,18:22:00,Beroperasi,4.37,Overburden,1556.9,14,OPR_040,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.3,0.45,Ringan,25.8,32.1,78.8,1.3,2.3,0,0.31214285714285717,3.203661327231121,356.2700228832952,0
OPRREC_0003982,ALAT_047,2025-09-09,Shift 1,06:00:00,10:24:00,Beroperasi,4.41,Overburden,1251.1,14,OPR_131,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.3,0.45,Ringan,25.8,32.1,78.8,1.3,2.3,0,0.315,3.1746031746031744,283.6961451247165,0
OPRREC_0004019,ALAT_047,2025-09-10,Shift 3,22:00:00,03:35:00,Beroperasi,5.59,Overburden,767.4,7,OPR_014,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.09,Cerah,26.5,32.1,63.6,1.1,2.9,0,0.7985714285714286,1.2522361359570662,137.28085867620752,1
OPRREC_0004020,ALAT_047,2025-09-10,Shift 2,14:00:00,17:33:00,Beroperasi,3.56,Overburden,643.9,6,OPR_079,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.09,Cerah,26.5,32.1,63.6,1.1,2.9,0,0.5933333333333334,1.6853932584269662,180.8707865168539,0
OPRREC_0004103,ALAT_047,2025-09-11,Shift 1,06:00:00,09:45:00,Beroperasi,3.76,Overburden,1835.0,16,OPR_023,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,13.5,0.61,Sedang,25.9,30.7,88.1,3.3,6.8,0,0.235,4.25531914893617,488.03191489361706,0
OPRREC_0004219,ALAT_047,2025-09-13,Shift 3,22:00:00,03:07:00,Beroperasi,5.12,Overburden,1507.8,17,OPR_113,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.16,Cerah,24.5,31.0,63.4,1.1,2.7,0,0.3011764705882353,3.3203125,294.4921875,0
OPRREC_0004220,ALAT_047,2025-09-13,Shift 1,06:00:00,08:26:00,Maintenance,2.44,Overburden,0.0,0,OPR_016,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.16,Cerah,24.5,31.0,63.4,1.1,2.7,0,,0.0,0.0,0
OPRREC_0004257,ALAT_047,2025-09-14,Shift 2,14:00:00,14:37:00,Standby,0.62,Overburden,0.0,0,OPR_135,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,17.0,0.83,Sedang,24.7,28.7,89.4,1.9,3.6,0,,0.0,0.0,0
OPRREC_0004258,ALAT_047,2025-09-14,Shift 3,22:00:00,01:12:00,Beroperasi,3.21,Overburden,837.8,8,OPR_100,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,17.0,0.83,Sedang,24.7,28.7,89.4,1.9,3.6,0,0.40125,2.4922118380062304,260.99688473520246,0
OPRREC_0004409,ALAT_047,2025-09-16,Shift 2,14:00:00,18:14:00,Beroperasi,4.24,Overburden,1040.7,10,OPR_053,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.9,0.37,Ringan,25.4,30.8,80.2,2.6,4.3,0,0.42400000000000004,2.3584905660377355,245.44811320754718,0
OPRREC_0004457,ALAT_047,2025-09-17,Shift 3,22:00:00,00:39:00,Maintenance,2.65,Overburden,0.0,0,OPR_119,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,6.4,0.49,Ringan,24.1,29.9,84.2,1.8,4.7,0,,0.0,0.0,0
OPRREC_0004558,ALAT_047,2025-09-19,Shift 1,06:00:00,08:55:00,Standby,2.93,Overburden,0.0,0,OPR_081,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.6,0.58,Ringan,23.6,28.7,80.5,2.2,4.8,0,,0.0,0.0,0
OPRREC_0004897,ALAT_047,2025-09-25,Shift 3,22:00:00,02:10:00,Beroperasi,4.18,Overburden,1347.4,15,OPR_023,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.17,Cerah,25.5,31.6,64.4,0.5,2.9,0,0.2786666666666667,3.5885167464114835,322.34449760765557,0
OPRREC_0004898,ALAT_047,2025-09-25,Shift 1,06:00:00,09:40:00,Maintenance,3.68,Overburden,0.0,0,OPR_078,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.17,Cerah,25.5,31.6,64.4,0.5,2.9,0,,0.0,0.0,0
OPRREC_0005359,ALAT_047,2025-10-03,Shift 1,06:00:00,11:42:00,Beroperasi,5.7,Overburden,1256.5,13,OPR_149,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.39,Ringan,24.5,31.0,80.5,1.4,4.4,0,0.43846153846153846,2.280701754385965,220.43859649122805,0
OPRREC_0005360,ALAT_047,2025-10-03,Shift 2,14:00:00,19:28:00,Beroperasi,5.47,Overburden,1067.0,10,OPR_060,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.3,0.39,Ringan,24.5,31.0,80.5,1.4,4.4,0,0.5469999999999999,1.8281535648994516,195.06398537477148,0
OPRREC_0005416,ALAT_047,2025-10-04,Shift 2,14:00:00,18:31:00,Beroperasi,4.53,Overburden,1734.2,16,OPR_012,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,1.6,0.52,Ringan,23.2,30.3,77.5,1.7,3.0,0,0.283125,3.532008830022075,382.8256070640177,0
OPRREC_0005798,ALAT_047,2025-10-11,Shift 3,22:00:00,05:22:00,Beroperasi,7.37,Overburden,1116.7,10,OPR_120,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.14,Cerah,25.7,31.6,62.0,0.8,2.4,0,0.737,1.3568521031207599,151.51967435549525,1
OPRREC_0005799,ALAT_047,2025-10-11,Shift 1,06:00:00,13:55:00,Beroperasi,7.93,Overburden,985.3,9,OPR_039,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.14,Cerah,25.7,31.6,62.0,0.8,2.4,0,0.8811111111111111,1.1349306431273645,124.24968474148802,1
OPRREC_0005974,ALAT_047,2025-10-14,Shift 3,22:00:00,01:51:00,Standby,3.86,Overburden,0.0,0,OPR_107,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,56.0,0.92,Lebat,24.8,28.6,92.1,4.3,7.0,0,,0.0,0.0,0
OPRREC_0005975,ALAT_047,2025-10-14,Shift 2,14:00:00,17:07:00,Beroperasi,3.12,Overburden,667.1,6,OPR_056,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,56.0,0.92,Lebat,24.8,28.6,92.1,4.3,7.0,0,0.52,1.923076923076923,213.81410256410257,0
OPRREC_0006243,ALAT_047,2025-10-18,Shift 2,14:00:00,17:19:00,Maintenance,3.32,Overburden,0.0,0,OPR_011,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.9,0.45,Ringan,24.0,31.0,82.9,2.2,4.7,0,,0.0,0.0,0
OPRREC_0006325,ALAT_047,2025-10-20,Shift 2,14:00:00,18:42:00,Beroperasi,4.7,Overburden,1493.7,14,OPR_060,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,2.7,0.45,Ringan,23.8,30.3,81.6,2.4,5.2,0,0.33571428571428574,2.978723404255319,317.8085106382979,0
OPRREC_0006569,ALAT_047,2025-10-24,Shift 1,06:00:00,13:06:00,Beroperasi,7.11,Overburden,1838.8,16,OPR_147,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,10.9,0.66,Sedang,24.3,30.7,90.3,3.2,5.2,0,0.444375,2.250351617440225,258.62165963431784,0
OPRREC_0006593,ALAT_047,2025-10-25,Shift 1,06:00:00,09:22:00,Beroperasi,3.37,Overburden,424.0,4,OPR_136,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,4.1,0.53,Ringan,23.9,28.0,75.8,2.2,4.0,0,0.8425,1.1869436201780414,125.8160237388724,1
OPRREC_0006658,ALAT_047,2025-10-26,Shift 2,14:00:00,17:31:00,Beroperasi,3.53,Overburden,1445.8,16,OPR_084,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,14.8,0.73,Sedang,24.9,30.0,86.9,4.2,8.6,5,0.220625,4.53257790368272,409.5750708215298,0
OPRREC_0006726,ALAT_047,2025-10-27,Shift 2,14:00:00,20:28:00,Beroperasi,6.48,Overburden,450.0,4,OPR_016,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,4.3,0.39,Ringan,23.3,28.5,78.5,2.5,4.0,0,1.62,0.6172839506172839,69.44444444444444,1
OPRREC_0006906,ALAT_047,2025-10-30,Shift 2,14:00:00,18:57:00,Beroperasi,4.96,Overburden,841.8,7,OPR_025,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,21.4,0.63,Sedang,24.6,31.6,89.2,2.2,5.2,0,0.7085714285714285,1.4112903225806452,169.71774193548387,0
OPRREC_0006907,ALAT_047,2025-10-30,Shift 1,06:00:00,13:05:00,Beroperasi,7.09,Overburden,2072.1,18,OPR_046,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,21.4,0.63,Sedang,24.6,31.6,89.2,2.2,5.2,0,0.3938888888888889,2.538787023977433,292.2566995768688,0
