id_cuaca,tanggal,lokasi_kode,latitude,longitude,zona_waktu,hujan_mm,prob_hujan,intensitas_hujan,suhu_min_c,suhu_max_c,kelembaban_rh_avg,angin_kecepatan_avg_ms,angin_gust_max_ms,angin_arah_derajat,tekanan_hpa_avg,visibilitas_km_avg,wet_bulb_c,petir_count
CWC_20250305_STOCKPILE,2025-03-05 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,29.9,0.04,Sedang,24.2,28.9,81.6,3.7,7.4,163,1006.3,9.4,21.3,0
CWC_20250305_PORT,2025-03-05 00:00:00,PORT,-1.93,116.95,Asia/Makassar,25.9,0.95,Sedang,25.7,31,69.1,2.1,3.8,149,1005.7,5.6,24.4,0
CWC_20250306_PIT_A,2025-03-06 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,78.3,0.16,Lebat,25.1,31.5,75.7,0.8,6.3,166,1014.3,5.3,24,0
CWC_20250306_PIT_B,2025-03-06 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,34.8,0.31,Sedang,25.1,32.8,90.9,3.5,7.1,199,1013.1,9.2,22.1,0
CWC_20250306_ROAD_01,2025-03-06 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,40.5,0.98,Sedang,25.7,31.3,94.7,1.1,7,31,1007.4,9.2,24.5,0
CWC_20250306_STOCKPILE,2025-03-06 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,6.2,0.91,Ringan,24,30.4,83.2,1.1,6.9,345,1008.2,5.9,21.4,0
CWC_20250306_PORT,2025-03-06 00:00:00,PORT,-1.93,116.95,Asia/Makassar,78.3,0.56,Lebat,24.4,29.1,65.2,1.8,5.4,349,1009.5,9.3,23.3,0
CWC_20250307_PIT_A,2025-03-07 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,60.6,0.59,Lebat,26.5,30.6,82.5,2.6,7.3,320,1014.9,9.6,25,0
CWC_20250307_PIT_B,2025-03-07 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,50.8,0.33,Lebat,23.6,29.8,74.6,4.2,9.6,166,1010.1,9.9,21.8,0
CWC_20250307_ROAD_01,2025-03-07 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,74.8,0.08,Lebat,24.8,30.9,86.5,3.1,7.8,264,1009.5,5.7,23.5,0
CWC_20250307_STOCKPILE,2025-03-07 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,35.7,0.8,Sedang,24.3,31.1,89.8,3.5,8.9,6,1007.5,7.9,23.3,0
CWC_20250307_PORT,2025-03-07 00:00:00,PORT,-1.93,116.95,Asia/Makassar,34.4,0.49,Sedang,24.8,31.1,85.3,3.4,8.1,115,1011.1,5.5,22.3,6
CWC_20250308_PIT_A,2025-03-08 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,28.3,0.06,Sedang,23.6,28.3,72.5,2.6,4.9,156,1007,5.9,22,0
CWC_20250308_PIT_B,2025-03-08 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,56.6,0.25,Lebat,26.4,30.7,83.7,2.1,3.8,176,1006.7,8.9,24.9,0
CWC_20250308_ROAD_01,2025-03-08 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,57.6,0.44,Lebat,24.7,30,73.6,2.8,4.9,297,1012.7,6,23.4,0
CWC_20250308_STOCKPILE,2025-03-08 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,0.7,0.64,Ringan,24.4,30.6,83.4,2.7,4,224,1007.7,6.9,22.7,0
CWC_20250308_PORT,2025-03-08 00:00:00,PORT,-1.93,116.95,Asia/Makassar,14.8,0.12,Ringan,25.3,29.9,66,4.3,6.6,292,1007.5,8.3,23.5,0
CWC_20250309_PIT_A,2025-03-09 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,50,0.71,Lebat,26,33.7,70.3,2.9,4.3,170,1012,7.5,23.3,0
CWC_20250309_PIT_B,2025-03-09 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,9.8,0.13,Ringan,26.6,33.5,73.3,4.2,5.6,234,1011.2,7.3,23.8,0
CWC_20250309_ROAD_01,2025-03-09 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,13.2,0.26,Ringan,24.2,28.6,94.3,1.7,3.1,309,1014.8,9.3,22.3,9
CWC_20250309_STOCKPILE,2025-03-09 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,38.9,0.21,Sedang,23.4,28.2,81.1,2.7,4.8,297,1010.8,9.1,21.7,0
CWC_20250309_PORT,2025-03-09 00:00:00,PORT,-1.93,116.95,Asia/Makassar,51.1,0.31,Lebat,24.7,29.8,86.4,0.7,3.5,171,1010.3,7.2,23,0
CWC_20250310_PIT_A,2025-03-10 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,50.6,0.06,Lebat,24.9,32.3,87.3,3.1,5.4,33,1013.3,9.5,22.2,0
CWC_20250310_PIT_B,2025-03-10 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,50.4,0.98,Lebat,24.2,31.5,86.5,3.8,6.4,156,1008,10,22.3,0
CWC_20250310_ROAD_01,2025-03-10 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,75.1,0.33,Lebat,23.5,29.1,87.6,3.8,7,334,1013.9,6.5,21.3,0
CWC_20250310_STOCKPILE,2025-03-10 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,59.2,0.27,Lebat,24.8,30.3,86.1,4.3,10,125,1011.2,5.7,22.8,0
CWC_20250310_PORT,2025-03-10 00:00:00,PORT,-1.93,116.95,Asia/Makassar,3.5,0.21,Ringan,26.6,33.8,84.8,2.1,3.4,229,1006.2,5.3,25.2,0
CWC_20250311_PIT_A,2025-03-11 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,1.3,0.24,Ringan,26.3,32.3,66.5,1.8,7.6,48,1013.3,7,23.8,0
CWC_20250311_PIT_B,2025-03-11 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,63.9,0.56,Lebat,25.8,31.1,83.5,1.6,4.7,149,1006.3,8.7,23.2,0
CWC_20250311_ROAD_01,2025-03-11 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,62,0.08,Lebat,24.6,31.1,77.4,3.9,5.2,129,1013.9,7.4,23.5,0
CWC_20250311_STOCKPILE,2025-03-11 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,62.1,0.47,Lebat,24.1,31.6,68.8,3.9,8.9,21,1013.2,8.6,22.8,0
CWC_20250311_PORT,2025-03-11 00:00:00,PORT,-1.93,116.95,Asia/Makassar,26.1,0.48,Sedang,24.4,30,92,0.5,2.8,272,1012.4,8.6,22,6
CWC_20250312_PIT_A,2025-03-12 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,72.2,0.29,Lebat,23.2,30,78.2,1.2,6.7,114,1006.7,8.2,20.8,0
CWC_20250312_PIT_B,2025-03-12 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,16.4,0.41,Ringan,26.3,30.5,81.8,2.9,5.6,265,1012,7.9,24.6,10
CWC_20250312_ROAD_01,2025-03-12 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,1.8,0.71,Ringan,26.4,32.5,92.3,3.9,9.4,173,1008.1,9,25.2,2
CWC_20250312_STOCKPILE,2025-03-12 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,69.7,0.93,Lebat,23.7,30.5,82.8,3.9,6,352,1011,5.8,22.6,0
CWC_20250312_PORT,2025-03-12 00:00:00,PORT,-1.93,116.95,Asia/Makassar,63.4,0.38,Lebat,23.6,28.6,80.1,2.4,5.5,94,1009.7,7.9,21.3,0
CWC_20250313_PIT_A,2025-03-13 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,32.7,0.36,Sedang,23.6,29,70.2,3.8,7.1,137,1013,6.9,22,0
CWC_20250313_PIT_B,2025-03-13 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,19.1,0.56,Ringan,26.4,30.8,90.9,3.8,8.4,82,1006.3,7.3,24.4,0
CWC_20250313_ROAD_01,2025-03-13 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,54.1,0.39,Lebat,25.5,32.6,65.2,1.6,6.2,134,1007.2,8.7,24.3,0
CWC_20250313_STOCKPILE,2025-03-13 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,49.4,0.44,Sedang,26.2,32.6,86.9,3,6.2,100,1005.1,6.8,24.5,0
CWC_20250313_PORT,2025-03-13 00:00:00,PORT,-1.93,116.95,Asia/Makassar,14.2,0.52,Ringan,26.7,31.6,87.1,1.2,5.4,22,1007.1,5.2,24,0
CWC_20250314_PIT_A,2025-03-14 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,13,0.4,Ringan,24.6,30.2,76.2,4.5,6.2,55,1014.9,9.3,23.3,0
CWC_20250314_PIT_B,2025-03-14 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,80,0.93,Lebat,26.3,31.5,65.6,1.2,5.3,177,1005.1,6.9,23.9,0
CWC_20250314_ROAD_01,2025-03-14 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,74.2,0.98,Lebat,24.4,31.8,83.2,1.3,4.6,76,1009.8,8.5,22.9,0
CWC_20250314_STOCKPILE,2025-03-14 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,28.6,0.51,Sedang,25.7,32,93.3,1.2,5.6,70,1010.2,8.4,23.7,0
CWC_20250314_PORT,2025-03-14 00:00:00,PORT,-1.93,116.95,Asia/Makassar,41.1,0.35,Sedang,24.7,32.4,86.6,2.5,6.7,264,1012.4,6.1,22.5,0
CWC_20250315_PIT_A,2025-03-15 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,29.8,0.14,Sedang,23.7,29.5,71.2,4.2,9.2,182,1011.6,8.7,21,0
CWC_20250315_PIT_B,2025-03-15 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,73.3,0.98,Lebat,24.5,30.2,81.8,2,5.8,78,1005.5,5.5,22.4,0
CWC_20250315_ROAD_01,2025-03-15 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,19.5,0.07,Ringan,24.1,30.1,87.6,2.1,7.8,280,1010.9,8.2,22.6,0
CWC_20250315_STOCKPILE,2025-03-15 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,64.3,0.82,Lebat,26.4,32.8,85.1,2.7,6.2,4,1011.6,5.8,23.9,0
CWC_20250315_PORT,2025-03-15 00:00:00,PORT,-1.93,116.95,Asia/Makassar,19.3,0.38,Ringan,27,32.1,94.1,1.8,6.8,171,1009.9,8.5,25.2,8
CWC_20250316_PIT_A,2025-03-16 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,41.7,0.88,Sedang,26.8,31.8,85.8,2.6,8.3,130,1007,9.5,25.5,0
CWC_20250316_PIT_B,2025-03-16 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,73,0.9,Lebat,23.1,29.7,66.9,0.8,3.1,305,1008.9,8.4,21.3,0
CWC_20250316_ROAD_01,2025-03-16 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,42,0.65,Sedang,26.1,30.6,91.4,1.4,2.9,44,1012.4,8.2,23.8,0
CWC_20250316_STOCKPILE,2025-03-16 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,59.2,0.17,Lebat,23.8,31.5,93,3.2,6,334,1005.1,5.6,20.9,2
CWC_20250316_PORT,2025-03-16 00:00:00,PORT,-1.93,116.95,Asia/Makassar,73.9,0.18,Lebat,24.9,32.6,90.1,2.8,6.3,4,1010.6,8.5,23,0
CWC_20250317_PIT_A,2025-03-17 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,47.8,0.34,Sedang,26.2,33.8,65.6,1.5,5,141,1011.4,6.3,24.3,0
CWC_20250317_PIT_B,2025-03-17 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,57.1,0.05,Lebat,24.3,28.8,80.9,2.5,4,109,1006,7.5,21.4,0
CWC_20250317_ROAD_01,2025-03-17 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,13,0.52,Ringan,24.2,29.6,68.2,4,5.6,290,1011,7.9,21.6,3
CWC_20250317_STOCKPILE,2025-03-17 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,21,0.58,Sedang,24.6,31.7,78.3,1.8,5.6,74,1010.1,8.3,21.9,0
CWC_20250317_PORT,2025-03-17 00:00:00,PORT,-1.93,116.95,Asia/Makassar,47.9,0.43,Sedang,23.3,29.5,79.6,3.6,9.3,341,1007.4,8.8,21.5,0
CWC_20250318_PIT_A,2025-03-18 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,38.6,0.57,Sedang,23.1,30.8,86.6,1.1,3.6,40,1008.3,5.9,21.2,0
CWC_20250318_PIT_B,2025-03-18 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,45.8,0.72,Sedang,26.8,33.9,74,0.9,2.7,43,1012.1,6.1,24.2,0
CWC_20250318_ROAD_01,2025-03-18 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,11.7,0.41,Ringan,23.2,30.1,94.1,2.3,5,152,1010.5,8.5,21,0
CWC_20250318_STOCKPILE,2025-03-18 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,56.8,0.26,Lebat,25.5,30.3,68.1,1.1,6,306,1005.1,5.7,22.6,0
CWC_20250318_PORT,2025-03-18 00:00:00,PORT,-1.93,116.95,Asia/Makassar,5,0.44,Ringan,25,31.7,72.7,4.3,7.6,103,1011.4,7.5,22.8,0
CWC_20250319_PIT_A,2025-03-19 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,44.3,0.06,Sedang,24.5,28.6,90.8,0.8,2.5,115,1012,8.4,23.1,0
CWC_20250319_PIT_B,2025-03-19 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,67.6,0.88,Lebat,24,30.6,69.1,2.9,7.6,309,1014.9,8.6,22.6,0
CWC_20250319_ROAD_01,2025-03-19 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,58,0.46,Lebat,26.9,31.1,65.5,3.3,5.3,314,1010.6,6.7,25.2,0
CWC_20250319_STOCKPILE,2025-03-19 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,35.4,0.85,Sedang,23.1,30.1,79.2,3.8,9.6,88,1008.3,6.6,20.7,0
CWC_20250319_PORT,2025-03-19 00:00:00,PORT,-1.93,116.95,Asia/Makassar,42.5,0.52,Sedang,24.2,29.8,79.3,1.2,3.8,329,1012.1,8.2,22,6
CWC_20250320_PIT_A,2025-03-20 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,76.9,0.48,Lebat,24.5,29.1,93.3,2.1,4.2,42,1013.1,6.7,23.3,0
CWC_20250320_PIT_B,2025-03-20 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,14.4,0.04,Ringan,23.3,27.8,69.8,1.5,6,109,1010.2,8.9,21.6,0
CWC_20250320_ROAD_01,2025-03-20 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,10.6,0.09,Ringan,25.2,31.4,74.3,3.9,7.2,71,1014.6,6.1,23,0
CWC_20250320_STOCKPILE,2025-03-20 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,43.8,0.86,Sedang,26.8,33.5,93.7,3.7,6.7,114,1011.7,6.3,25.1,0
CWC_20250320_PORT,2025-03-20 00:00:00,PORT,-1.93,116.95,Asia/Makassar,39.5,0.14,Sedang,24.9,31.8,67.6,4.4,10.2,167,1011.5,7.8,23.7,0
CWC_20250321_PIT_A,2025-03-21 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,30.3,0.18,Sedang,25.1,30.5,69.7,4.1,5.1,95,1015,7.1,22.3,0
CWC_20250321_PIT_B,2025-03-21 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,20,0.02,Sedang,26.4,32.5,79.7,3.5,6.8,81,1013.8,6.2,24.1,0
CWC_20250321_ROAD_01,2025-03-21 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,57.2,0.26,Lebat,26.8,33.4,81.2,2.8,5.3,198,1007.2,5.1,24.1,0
CWC_20250321_STOCKPILE,2025-03-21 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,44.3,0.02,Sedang,26.6,34.3,76.1,3.4,9.3,4,1014.6,6.5,23.6,0
CWC_20250321_PORT,2025-03-21 00:00:00,PORT,-1.93,116.95,Asia/Makassar,68.5,0.03,Lebat,23.7,30.6,91.1,2.6,5.8,98,1009.3,7.8,21.9,0
CWC_20250322_PIT_A,2025-03-22 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,65.9,0.96,Lebat,24.5,31.3,82.7,1.1,6.2,86,1012.5,8.8,22.3,0
CWC_20250322_PIT_B,2025-03-22 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,61.5,0.86,Lebat,26.4,33.2,80.9,1.4,4,304,1006.3,5.3,25.3,0
CWC_20250322_ROAD_01,2025-03-22 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,21.2,0.15,Sedang,24,29.1,70.5,1.1,5.6,39,1013.5,8,22,0
CWC_20250322_STOCKPILE,2025-03-22 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,56.5,0.04,Lebat,26.1,33.6,93,2.7,3.7,302,1010.7,5.9,24.8,0
CWC_20250322_PORT,2025-03-22 00:00:00,PORT,-1.93,116.95,Asia/Makassar,48.9,0.02,Sedang,25.2,31.1,73.4,2.3,4.1,311,1006.1,6.5,23.4,2
CWC_20250323_PIT_A,2025-03-23 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,8.3,0.52,Ringan,25.1,31.8,77.1,3.9,9.3,79,1009.8,6.1,23.2,0
CWC_20250323_PIT_B,2025-03-23 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,2.6,0.38,Ringan,24.3,29.3,78.8,2.8,4.6,320,1012.3,9.4,22.2,0
CWC_20250323_ROAD_01,2025-03-23 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,68.9,0.25,Lebat,26.4,33.8,77.4,2.3,6.8,267,1010.7,5.9,23.6,10
CWC_20250323_STOCKPILE,2025-03-23 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,75.9,0.79,Lebat,25.5,31.4,86.2,4.4,5.8,233,1013.2,9,24,0
CWC_20250323_PORT,2025-03-23 00:00:00,PORT,-1.93,116.95,Asia/Makassar,71.2,0.86,Lebat,24.6,32.6,81.8,3,8.4,93,1007.6,7.7,22.5,0
CWC_20250324_PIT_A,2025-03-24 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,54.6,0.7,Lebat,26.2,33.5,78.9,2.6,6.7,69,1008.4,8.3,24.8,0
CWC_20250324_PIT_B,2025-03-24 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,38.4,0.4,Sedang,26.7,33.4,77.4,1.9,3.8,156,1011,6.2,25,0
CWC_20250324_ROAD_01,2025-03-24 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,39.8,0.15,Sedang,25.2,32.5,75.1,0.8,6.1,287,1010.6,6.6,22.8,0
CWC_20250324_STOCKPILE,2025-03-24 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,44.1,0.8,Sedang,26,31.1,84.8,1.5,4.7,69,1011.3,7.6,23.5,0
CWC_20250324_PORT,2025-03-24 00:00:00,PORT,-1.93,116.95,Asia/Makassar,55.9,0.54,Lebat,23,29.7,70.1,2.9,8,231,1012.5,9,20.7,0
CWC_20250325_PIT_A,2025-03-25 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,45.7,0.11,Sedang,26.7,33.9,85,4.5,9.4,11,1006.8,5.4,23.9,0
CWC_20250325_PIT_B,2025-03-25 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,34.1,0.75,Sedang,23.4,29.5,66.9,1.4,4.9,305,1012.7,6.4,21.3,0
CWC_20250325_ROAD_01,2025-03-25 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,18,0.36,Ringan,24.3,29.2,81.1,2.9,7.3,127,1008.7,7.5,21.6,6
CWC_20250325_STOCKPILE,2025-03-25 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,74,0.32,Lebat,25.8,32.8,94.3,4,9,69,1005.2,7.8,23.4,0
CWC_20250325_PORT,2025-03-25 00:00:00,PORT,-1.93,116.95,Asia/Makassar,71.4,0.88,Lebat,23.3,29.5,89.7,2.8,4.2,210,1013,9,20.6,0
CWC_20250326_PIT_A,2025-03-26 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,67.6,0.37,Lebat,26,32.3,91,2.4,4.1,160,1008.3,8.5,24.3,0
CWC_20250326_PIT_B,2025-03-26 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,69.1,0.39,Lebat,24.4,31.3,82.1,2.4,4.7,185,1013.3,7,23.3,0
CWC_20250326_ROAD_01,2025-03-26 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,9.5,0.38,Ringan,24.5,32,72.5,2.5,5.7,268,1011.2,9,21.7,0
CWC_20250326_STOCKPILE,2025-03-26 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,77.8,0.22,Lebat,23.1,28.8,85.4,0.7,5.3,108,1012.2,8.5,20.3,0
CWC_20250326_PORT,2025-03-26 00:00:00,PORT,-1.93,116.95,Asia/Makassar,22.9,0.71,Sedang,24,28.6,94.7,3.5,5.8,269,1012,8.9,21.4,0
CWC_20250327_PIT_A,2025-03-27 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,46,0.16,Sedang,25.2,29.6,68.5,3.2,4.3,267,1013.1,6.7,22.3,0
CWC_20250327_PIT_B,2025-03-27 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,19.1,0.58,Ringan,25.1,30.9,84.4,3.2,8.8,295,1008.1,7.5,23.7,0
CWC_20250327_ROAD_01,2025-03-27 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,47.5,0.28,Sedang,24.2,31.5,77.1,4,6.5,198,1008.1,7.4,22.1,0
CWC_20250327_STOCKPILE,2025-03-27 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,27.7,0.34,Sedang,23.2,29.1,84,2.3,6.4,294,1013.3,6.7,21.3,0
CWC_20250327_PORT,2025-03-27 00:00:00,PORT,-1.93,116.95,Asia/Makassar,68.3,0.29,Lebat,25.1,31.2,89.2,1.9,3.6,50,1012.1,7.7,22.3,0
CWC_20250328_PIT_A,2025-03-28 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,48.1,0.72,Sedang,26.3,33,82.2,0.9,3.3,281,1010,8.6,24.3,0
CWC_20250328_PIT_B,2025-03-28 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,20.7,0.45,Sedang,25.9,32.3,69.1,0.6,5.8,174,1006.4,8.1,24.7,0
