id_record_jalan,timestamp_utc,lokasi_kode,id_segmen_jalan,sumber_data,status_jalan,alasan_status,panjang_segmen_km,tipe_permukaan,kemiringan_pct,tikungan_kelas,kedalaman_air_cm,indeks_friksi,batas_kecepatan_km_jam,kecepatan_aktual_km_jam,waktu_tempuh_menit,ritase_terobservasi,Speed drop,Risk Indicator
JREC_0000197,2025-07-01T23:00:00Z,PIT_A,SEG_PIT_A_02,Manual Survey,BAIK,Normal,1.27,Asphalt,5.4,B,0.0,0.75,45,35.2,2.2,1,21.77777778,Hijau
JREC_0000200,2025-07-01T23:00:00Z,PIT_B,SEG_PIT_B_02,Drone Survey,BAIK,Normal,0.99,Laterite,0.3,D,0.4,0.55,35,13.9,4.3,1,60.28571429,Hijau
JREC_0000201,2025-07-01T23:00:00Z,PIT_B,SEG_PIT_B_03,Manual Survey,BAIK,Normal,2.42,Coal Road,6.7,A,0.2,0.5,25,15.8,9.2,1,36.8,Hijau
JREC_0000209,2025-07-01T23:00:00Z,PORT,SEG_PORT_02,IoT Sensor,BAIK,Normal,2.85,Coal Road,3.9,D,0.0,0.5,30,10.5,16.3,1,65.0,Hijau
JREC_0000206,2025-07-01T23:00:00Z,STOCKPILE,SEG_STOCKPILE_02,IoT Sensor,BAIK,Normal,1.44,Coal Road,4.4,C,0.1,0.5,30,13.5,6.4,0,55.0,Hijau
JREC_0000219,2025-07-02T00:00:00Z,ROAD_01,SEG_ROAD_01_03,Operator App,BAIK,Normal,1.0,Asphalt,2.8,C,0.0,0.75,50,34.1,1.8,3,31.8,Hijau
JREC_0000217,2025-07-02T00:00:00Z,ROAD_01,SEG_ROAD_01_01,Manual Survey,BAIK,Normal,1.96,Asphalt,4.5,B,0.6,0.74,50,38.6,3.0,0,22.8,Hijau
JREC_0000222,2025-07-02T00:00:00Z,STOCKPILE,SEG_STOCKPILE_03,IoT Sensor,BAIK,Normal,2.83,Gravel,6.3,A,0.0,0.6,35,25.3,6.7,0,27.71428571,Hijau
JREC_0000218,2025-07-02T00:00:00Z,ROAD_01,SEG_ROAD_01_02,Operator App,BAIK,Normal,2.1,Laterite,7.1,C,1.1,0.54,30,14.6,8.6,1,51.33333333,Hijau
JREC_0000220,2025-07-02T00:00:00Z,STOCKPILE,SEG_STOCKPILE_01,Drone Survey,BAIK,Normal,2.86,Asphalt,3.4,B,1.2,0.74,50,38.6,4.4,1,22.8,Hijau
JREC_0000215,2025-07-02T00:00:00Z,PIT_B,SEG_PIT_B_02,IoT Sensor,BAIK,Normal,0.99,Laterite,0.3,D,0.0,0.55,35,13.9,4.3,0,60.28571429,Hijau
JREC_0000223,2025-07-02T00:00:00Z,PORT,SEG_PORT_01,Drone Survey,BAIK,Normal,1.76,Asphalt,5.1,C,0.3,0.75,45,30.7,3.4,1,31.77777778,Hijau
JREC_0000211,2025-07-02T00:00:00Z,PIT_A,SEG_PIT_A_01,Manual Survey,BAIK,Normal,2.64,Coal Road,3.4,A,1.0,0.49,30,18.6,8.5,1,38.0,Hijau
JREC_0000240,2025-07-02T01:00:00Z,PORT,SEG_PORT_03,IoT Sensor,BAIK,Normal,2.25,Gravel,5.7,C,0.2,0.6,35,19.0,7.1,0,45.71428571,Hijau
JREC_0000233,2025-07-02T01:00:00Z,ROAD_01,SEG_ROAD_01_02,Manual Survey,BAIK,Normal,2.1,Laterite,7.1,C,0.0,0.55,30,14.9,8.5,0,50.33333333,Hijau
JREC_0000228,2025-07-02T01:00:00Z,PIT_A,SEG_PIT_A_03,Operator App,BAIK,Normal,1.16,Coal Road,3.8,A,0.0,0.5,30,18.9,3.7,3,37.0,Hijau
JREC_0000231,2025-07-02T01:00:00Z,PIT_B,SEG_PIT_B_03,Manual Survey,BAIK,Normal,2.42,Coal Road,6.7,A,1.1,0.49,25,15.5,9.4,1,38.0,Hijau
JREC_0000254,2025-07-02T02:00:00Z,PORT,SEG_PORT_02,IoT Sensor,BAIK,Normal,2.85,Coal Road,3.9,D,0.3,0.5,30,10.5,16.3,1,65.0,Hijau
JREC_0000255,2025-07-02T02:00:00Z,PORT,SEG_PORT_03,Operator App,BAIK,Normal,2.25,Gravel,5.7,C,2.1,0.58,35,18.4,7.3,0,47.42857143,Hijau
JREC_0000246,2025-07-02T02:00:00Z,PIT_B,SEG_PIT_B_03,Drone Survey,BAIK,Normal,2.42,Coal Road,6.7,A,0.0,0.5,25,15.8,9.2,1,36.8,Hijau
JREC_0000253,2025-07-02T02:00:00Z,PORT,SEG_PORT_01,IoT Sensor,BAIK,Normal,1.76,Asphalt,5.1,C,0.0,0.75,45,30.7,3.4,0,31.77777778,Hijau
JREC_0000252,2025-07-02T02:00:00Z,STOCKPILE,SEG_STOCKPILE_03,Drone Survey,BAIK,Normal,2.83,Gravel,6.3,A,0.0,0.6,35,25.3,6.7,1,27.71428571,Hijau
JREC_0000248,2025-07-02T02:00:00Z,ROAD_01,SEG_ROAD_01_02,Drone Survey,BAIK,Normal,2.1,Laterite,7.1,C,0.6,0.54,30,14.6,8.6,0,51.33333333,Hijau
JREC_0000243,2025-07-02T02:00:00Z,PIT_A,SEG_PIT_A_03,Drone Survey,BAIK,Normal,1.16,Coal Road,3.8,A,0.0,0.5,30,18.9,3.7,0,37.0,Hijau
JREC_0000249,2025-07-02T02:00:00Z,ROAD_01,SEG_ROAD_01_03,IoT Sensor,BAIK,Normal,1.0,Asphalt,2.8,C,0.1,0.75,50,34.1,1.8,1,31.8,Hijau
JREC_0000242,2025-07-02T02:00:00Z,PIT_A,SEG_PIT_A_02,Drone Survey,BAIK,Normal,1.27,Asphalt,5.4,B,0.0,0.75,45,35.2,2.2,0,21.77777778,Hijau
