id_record,id_alat,tanggal_operasi,shift,jam_mulai,jam_selesai,status_operasi,durasi_jam,material_dipindah,total_muatan_ton,jumlah_ritase,id_operator,lokasi_kode_final,tipe_alat,model_alat,kapasitas_default_ton,departemen,umur_tahun,kondisi,hujan_mm,prob_hujan,intensitas_hujan,suhu_min_c,suhu_max_c,kelembaban_rh_avg,angin_kecepatan_avg_ms,angin_gust_max_ms,petir_count,label_breakdown_shift_ini,label_breakdown_next_24h
OPRREC_0000061,ALAT_015,2025-07-01,Shift 1,06:00:00,12:37:00,Beroperasi,6.62,None,0.0,0,OPR_066,PIT_B,Bulldozer,CAT D6R,34.6,Infrastructure,2.7,Sangat Baik,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,0
OPRREC_0000062,ALAT_015,2025-07-01,Shift 3,22:00:00,02:02:00,Beroperasi,4.04,None,0.0,0,OPR_012,PIT_B,Bulldozer,CAT D6R,34.6,Infrastructure,2.7,Sangat Baik,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,0
OPRREC_0000063,ALAT_092,2025-07-02,Shift 1,06:00:00,11:00:00,Beroperasi,5.0,Coal,1391.5,15,OPR_095,PORT,Dump Truck,CAT 785C,97.7,Coal Hauling,2.9,Sangat Baik,0.0,0.06,Cerah,25.0,30.2,64.4,2.5,4.9,0,0,0
OPRREC_0000064,ALAT_022,2025-07-02,Shift 1,06:00:00,07:22:00,Maintenance,1.37,Coal,0.0,0,OPR_096,ROAD_01,Dump Truck,Komatsu HD785,138.6,Coal Hauling,8.6,Rusak Ringan,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000065,ALAT_080,2025-07-02,Shift 1,06:00:00,09:51:00,Beroperasi,3.86,None,0.0,0,OPR_027,PIT_A,Bulldozer,CAT D6R,19.6,Infrastructure,8.5,Perlu Servis,0.0,0.09,Cerah,24.7,30.7,66.5,1.5,2.1,0,0,0
OPRREC_0000066,ALAT_080,2025-07-02,Shift 2,14:00:00,17:37:00,Standby,3.62,None,0.0,0,OPR_056,PIT_A,Bulldozer,CAT D6R,19.6,Infrastructure,8.5,Perlu Servis,0.0,0.09,Cerah,24.7,30.7,66.5,1.5,2.1,0,0,0
OPRREC_0000067,ALAT_096,2025-07-02,Shift 2,14:00:00,17:04:00,Beroperasi,3.07,None,0.0,0,OPR_124,ROAD_01,Grader,Komatsu GD655,13.9,Road Maintenance,0.7,Baik,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000068,ALAT_096,2025-07-02,Shift 3,22:00:00,05:21:00,Beroperasi,7.35,None,0.0,0,OPR_012,ROAD_01,Grader,Komatsu GD655,13.9,Road Maintenance,0.7,Baik,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000069,ALAT_089,2025-07-02,Shift 2,14:00:00,16:01:00,Maintenance,2.02,Overburden,0.0,0,OPR_119,PIT_A,Excavator,Hitachi ZX200,4.5,Overburden,6.3,Baik,0.0,0.09,Cerah,24.7,30.7,66.5,1.5,2.1,0,0,0
OPRREC_0000070,ALAT_064,2025-07-02,Shift 2,14:00:00,17:00:00,Beroperasi,3.01,None,0.0,0,OPR_082,ROAD_01,Grader,CAT 140K,22.4,Infrastructure,3.3,Sangat Baik,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000071,ALAT_064,2025-07-02,Shift 1,06:00:00,10:25:00,Beroperasi,4.43,None,0.0,0,OPR_108,ROAD_01,Grader,CAT 140K,22.4,Infrastructure,3.3,Sangat Baik,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000072,ALAT_051,2025-07-02,Shift 3,22:00:00,00:43:00,Standby,2.72,Overburden,0.0,0,OPR_064,PIT_A,Excavator,Volvo EC210,3.4,Overburden,7.5,Perlu Servis,0.0,0.09,Cerah,24.7,30.7,66.5,1.5,2.1,0,0,0
OPRREC_0000073,ALAT_058,2025-07-02,Shift 3,22:00:00,02:18:00,Beroperasi,4.3,None,0.0,0,OPR_099,ROAD_01,Grader,John Deere 772G,24.4,Road Maintenance,4.7,Sangat Baik,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000074,ALAT_062,2025-07-02,Shift 1,06:00:00,07:55:00,Maintenance,1.92,Overburden,0.0,0,OPR_072,PIT_B,Bulldozer,Shantui SD22,28.1,Overburden,5.3,Perlu Servis,0.0,0.19,Cerah,26.7,32.5,68.5,2.0,3.8,0,0,0
OPRREC_0000075,ALAT_020,2025-07-02,Shift 1,06:00:00,11:12:00,Beroperasi,5.2,Coal,13.9,8,OPR_066,PIT_A,Excavator,CAT 320D,1.7,Coal Loading,9.4,Perlu Servis,0.0,0.09,Cerah,24.7,30.7,66.5,1.5,2.1,0,0,0
OPRREC_0000076,ALAT_020,2025-07-02,Shift 2,14:00:00,18:07:00,Beroperasi,4.12,Coal,14.6,10,OPR_016,PIT_A,Excavator,CAT 320D,1.7,Coal Loading,9.4,Perlu Servis,0.0,0.09,Cerah,24.7,30.7,66.5,1.5,2.1,0,0,0
OPRREC_0000077,ALAT_094,2025-07-02,Shift 2,14:00:00,20:47:00,Beroperasi,6.79,Coal,118.8,16,OPR_061,PIT_A,Wheel Loader,Volvo L120H,8.7,Coal Loading,3.9,Baik,0.0,0.09,Cerah,24.7,30.7,66.5,1.5,2.1,0,0,0
OPRREC_0000078,ALAT_029,2025-07-02,Shift 1,06:00:00,06:36:00,Standby,0.61,Overburden,0.0,0,OPR_063,ROAD_01,Dump Truck,CAT 785C,94.5,Overburden Hauling,9.4,Perlu Servis,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000079,ALAT_029,2025-07-02,Shift 3,22:00:00,23:46:00,Maintenance,1.77,Overburden,0.0,0,OPR_076,ROAD_01,Dump Truck,CAT 785C,94.5,Overburden Hauling,9.4,Perlu Servis,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000080,ALAT_085,2025-07-02,Shift 3,22:00:00,02:04:00,Beroperasi,4.07,Coal,493.4,5,OPR_107,ROAD_01,Dump Truck,Komatsu HD785,95.8,Coal Hauling,1.5,Sangat Baik,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000081,ALAT_085,2025-07-02,Shift 2,14:00:00,20:23:00,Beroperasi,6.39,Coal,884.2,9,OPR_143,ROAD_01,Dump Truck,Komatsu HD785,95.8,Coal Hauling,1.5,Sangat Baik,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000082,ALAT_077,2025-07-02,Shift 1,06:00:00,09:45:00,Beroperasi,3.76,None,0.0,0,OPR_073,PIT_B,Grader,John Deere 772G,11.0,Infrastructure,5.1,Baik,0.0,0.19,Cerah,26.7,32.5,68.5,2.0,3.8,0,0,0
OPRREC_0000083,ALAT_079,2025-07-02,Shift 2,14:00:00,19:43:00,Beroperasi,5.73,Coal,620.5,5,OPR_005,ROAD_01,Dump Truck,Volvo A40G,141.4,Coal Hauling,9.3,Rusak Ringan,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000084,ALAT_032,2025-07-02,Shift 2,14:00:00,20:28:00,Beroperasi,6.47,Overburden,28.9,16,OPR_002,PIT_A,Excavator,CAT 320D,2.0,Overburden,9.1,Rusak Ringan,0.0,0.09,Cerah,24.7,30.7,66.5,1.5,2.1,0,0,1
OPRREC_0000085,ALAT_057,2025-07-02,Shift 1,06:00:00,13:42:00,Beroperasi,7.71,Overburden,541.7,6,OPR_127,ROAD_01,Dump Truck,Belaz 7555,86.9,Overburden Hauling,9.8,Rusak Ringan,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000086,ALAT_057,2025-07-02,Shift 2,14:00:00,19:11:00,Beroperasi,5.19,Overburden,1073.5,14,OPR_052,ROAD_01,Dump Truck,Belaz 7555,86.9,Overburden Hauling,9.8,Rusak Ringan,0.0,0.0,Cerah,25.5,30.0,62.2,0.6,2.2,0,0,0
OPRREC_0000087,ALAT_049,2025-07-02,Shift 2,14:00:00,17:03:00,Beroperasi,3.05,None,0.0,0,OPR_026,PIT_B,Grader,CAT 140K,20.6,Infrastructure,2.1,Sangat Baik,0.0,0.19,Cerah,26.7,32.5,68.5,2.0,3.8,0,0,0
OPRREC_0000088,ALAT_049,2025-07-02,Shift 1,06:00:00,07:03:00,Standby,1.06,None,0.0,0,OPR_078,PIT_B,Grader,CAT 140K,20.6,Infrastructure,2.1,Sangat Baik,0.0,0.19,Cerah,26.7,32.5,68.5,2.0,3.8,0,0,0
OPRREC_0000089,ALAT_017,2025-07-02,Shift 2,14:00:00,17:15:00,Beroperasi,3.26,Coal,1833.8,13,OPR_014,PORT,Dump Truck,Belaz 7555,129.4,Coal Hauling,1.3,Sangat Baik,0.0,0.06,Cerah,25.0,30.2,64.4,2.5,4.9,0,0,0
OPRREC_0000090,ALAT_017,2025-07-02,Shift 3,22:00:00,01:01:00,Standby,3.02,Coal,0.0,0,OPR_017,PORT,Dump Truck,Belaz 7555,129.4,Coal Hauling,1.3,Sangat Baik,0.0,0.06,Cerah,25.0,30.2,64.4,2.5,4.9,0,0,0
